# Gnuplot File : positions of 8 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 1 2 3 4 5 6 7 
0.3	0 0 -0.122867 0.99841 0.0167544 0	0 0 0.0589339 0.998525 -0.0311939 0	0 0 0.213454 0.994651 -0.0564189 0	0 0 0.341467 0.992011 -0.0613922 0	0 0 0.445916 0.992303 -0.0511729 0	0 0 0.533416 0.994729 -0.0334185 0	0 0 0.614253 0.997514 -0.0167778 0	0 0 0.700201 0.999216 -0.00798075 0	
0.31	0 0 -0.128719 0.998352 0.0170335 0	0 0 0.0556904 0.998559 -0.0314845 0	0 0 0.2126 0.99445 -0.0575352 0	0 0 0.342439 0.991517 -0.0632877 0	0 0 0.447804 0.991667 -0.0535369 0	0 0 0.535218 0.99415 -0.0358373 0	0 0 0.615291 0.997095 -0.0189576 0	0 0 0.700436 0.998918 -0.00988236 0	
0.32	0 0 -0.134584 0.998295 0.0172727 0	0 0 0.0523705 0.998601 -0.0317338 0	0 0 0.211627 0.994261 -0.0585552 0	0 0 0.343284 0.991027 -0.0650775 0	0 0 0.449588 0.991017 -0.0558393 0	0 0 0.53696 0.993539 -0.0382766 0	0 0 0.616315 0.996633 -0.0212429 0	0 0 0.700679 0.998573 -0.0119411 0	
0.33	0 0 -0.140457 0.998238 0.0174725 0	0 0 0.0489784 0.99865 -0.031943 0	0 0 0.210537 0.994086 -0.0594798 0	0 0 0.343996 0.990544 -0.0667602 0	0 0 0.45126 0.990356 -0.0580756 0	0 0 0.538634 0.992898 -0.0407304 0	0 0 0.617317 0.996128 -0.0236285 0	0 0 0.70093 0.99818 -0.0141538 0	
0.34	0 0 -0.146331 0.998182 0.0176332 0	0 0 0.0455184 0.998705 -0.0321129 0	0 0 0.209329 0.993924 -0.0603101 0	0 0 0.344571 0.99007 -0.0683347 0	0 0 0.45281 0.989686 -0.0602421 0	0 0 0.540231 0.992229 -0.0431931 0	0 0 0.618293 0.995581 -0.0261087 0	0 0 0.701187 0.997735 -0.016516 0	
0.35	0 0 -0.152199 0.998126 0.0177559 0	0 0 0.0419944 0.998768 -0.0322444 0	0 0 0.208002 0.993776 -0.0610473 0	0 0 0.345004 0.989606 -0.0698009 0	0 0 0.454231 0.989012 -0.0623356 0	0 0 0.541742 0.991535 -0.0456595 0	0 0 0.619236 0.994991 -0.0286781 0	0 0 0.701448 0.997239 -0.0190228 0	
0.36	0 0 -0.158056 0.998072 0.0178411 0	0 0 0.0384105 0.998836 -0.0323384 0	0 0 0.206558 0.993644 -0.0616926 0	0 0 0.34529 0.989156 -0.0711587 0	0 0 0.455516 0.988334 -0.0643538 0	0 0 0.543159 0.990816 -0.048125 0	0 0 0.620143 0.994359 -0.0313309 0	0 0 0.701712 0.996689 -0.0216686 0	
0.37	0 0 -0.163894 0.99802 0.0178896 0	0 0 0.0347703 0.998911 -0.0323955 0	0 0 0.204997 0.993527 -0.0622473 0	0 0 0.345427 0.98872 -0.0724086 0	0 0 0.456657 0.987657 -0.0662951 0	0 0 0.544476 0.990076 -0.0505854 0	0 0 0.621009 0.993687 -0.0340615 0	0 0 0.701978 0.996086 -0.0244471 0	
0.38	0 0 -0.169708 0.997969 0.0179022 0	0 0 0.0310775 0.998991 -0.0324161 0	0 0 0.203319 0.993425 -0.0627129 0	0 0 0.34541 0.9883 -0.0735516 0	0 0 0.45765 0.986983 -0.0681583 0	0 0 0.545688 0.989316 -0.0530371 0	0 0 0.621829 0.992974 -0.0368639 0	0 0 0.702245 0.995428 -0.0273514 0	
0.39	0 0 -0.175492 0.997921 0.0178797 0	0 0 0.0273354 0.999078 -0.0324009 0	0 0 0.201524 0.99334 -0.0630909 0	0 0 0.345237 0.987899 -0.0745888 0	0 0 0.458487 0.986314 -0.0699429 0	0 0 0.546787 0.988539 -0.0554768 0	0 0 0.622601 0.992222 -0.0397322 0	0 0 0.702511 0.994716 -0.0303744 0	
0.4	0 0 -0.181241 0.997876 0.0178234 0	0 0 0.0235475 0.999169 -0.0323504 0	0 0 0.199612 0.993272 -0.0633828 0	0 0 0.344905 0.987518 -0.0755218 0	0 0 0.459166 0.985653 -0.0716487 0	0 0 0.547769 0.987748 -0.0579015 0	0 0 0.623321 0.991433 -0.0426608 0	0 0 0.702776 0.99395 -0.0335081 0	
