# Gnuplot File : positions of 8 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 1 2 3 4 5 6 7 
0.32	0 0 -0.123689 -0.00165469 -0.0172754 0	0 0 0.0369537 -0.00164512 -0.0137284 0	0 0 0.183533 -0.00197003 -0.0100079 0	0 0 0.315515 -0.00228827 -0.00618416 0	0 0 0.432752 -0.00232936 -0.00247768 0	0 0 0.53599 -0.00194751 0.000590099 0	0 0 0.627859 -0.00119741 0.00229207 0	0 0 0.71351 -0.000382025 0.00205508 0	
0.33	0 0 -0.128442 -0.00166764 -0.0176412 0	0 0 0.0335929 -0.00164816 -0.0140763 0	0 0 0.181542 -0.00198153 -0.0103165 0	0 0 0.314742 -0.00231708 -0.00642712 0	0 0 0.432901 -0.00237318 -0.00262926 0	0 0 0.536641 -0.00199436 0.00053835 0	0 0 0.62856 -0.00123202 0.00231638 0	0 0 0.713915 -0.000395833 0.00209979 0	
0.34	0 0 -0.133169 -0.00167667 -0.0179921 0	0 0 0.030201 -0.00164675 -0.0144113 0	0 0 0.179469 -0.00198802 -0.0106162 0	0 0 0.313852 -0.00234067 -0.00666644 0	0 0 0.432923 -0.0024123 -0.00278298 0	0 0 0.537182 -0.00203783 0.000480073 0	0 0 0.629185 -0.00126504 0.00233284 0	0 0 0.714285 -0.000409515 0.00213917 0	
0.35	0 0 -0.137866 -0.00168181 -0.0183279 0	0 0 0.0267808 -0.00164091 -0.0147333 0	0 0 0.177316 -0.00198951 -0.0109065 0	0 0 0.312847 -0.00235905 -0.00690181 0	0 0 0.432818 -0.00244669 -0.00293859 0	0 0 0.537608 -0.00207784 0.000415336 0	0 0 0.62973 -0.00129634 0.00234136 0	0 0 0.71462 -0.000422957 0.0021731 0	
0.36	0 0 -0.142532 -0.00168306 -0.0186489 0	0 0 0.0233347 -0.0016307 -0.0150421 0	0 0 0.175085 -0.00198605 -0.0111872 0	0 0 0.311728 -0.00237222 -0.00713299 0	0 0 0.432585 -0.00247631 -0.00309595 0	0 0 0.53792 -0.00211436 0.00034416 0	0 0 0.630196 -0.00132593 0.00234185 0	0 0 0.714918 -0.0004362 0.00220148 0	
0.37	0 0 -0.147165 -0.00168046 -0.0189553 0	0 0 0.0198649 -0.00161618 -0.0153378 0	0 0 0.172778 -0.00197769 -0.0114583 0	0 0 0.310494 -0.00238019 -0.00735976 0	0 0 0.432223 -0.00250113 -0.00325489 0	0 0 0.538116 -0.00214733 0.000266587 0	0 0 0.63058 -0.00135378 0.00233428 0	0 0 0.715179 -0.000449242 0.00222426 0	
0.38	0 0 -0.151763 -0.00167403 -0.0192473 0	0 0 0.0163734 -0.00159741 -0.0156204 0	0 0 0.170398 -0.0019645 -0.0117196 0	0 0 0.309149 -0.002383 -0.00758196 0	0 0 0.431734 -0.00252115 -0.00341527 0	0 0 0.538196 -0.00217675 0.000182683 0	0 0 0.630882 -0.00137988 0.00231862 0	0 0 0.715403 -0.000462079 0.0022414 0	
0.39	0 0 -0.156326 -0.00166384 -0.019525 0	0 0 0.0128621 -0.0015745 -0.0158899 0	0 0 0.167945 -0.00194656 -0.0119711 0	0 0 0.307692 -0.00238068 -0.00779946 0	0 0 0.431117 -0.00253637 -0.00357695 0	0 0 0.538159 -0.00220259 9.25157e-05 0	0 0 0.631102 -0.00140425 0.00229487 0	0 0 0.715589 -0.000474759 0.00225289 0	
0.4	0 0 -0.160852 -0.00164993 -0.0197889 0	0 0 0.00933274 -0.0015475 -0.0161466 0	0 0 0.165422 -0.00192396 -0.0122128 0	0 0 0.306126 -0.00237334 -0.00801213 0	0 0 0.430375 -0.00254686 -0.00373976 0	0 0 0.538007 -0.00222487 -3.79244e-06 0	0 0 0.63124 -0.00142681 0.0022631 0	0 0 0.715737 -0.000487171 0.00225873 0	
0.41	0 0 -0.165342 -0.00163237 -0.0200392 0	0 0 0.00578687 -0.00151652 -0.0163906 0	0 0 0.162832 -0.0018968 -0.0124446 0	0 0 0.304453 -0.00236104 -0.0082199 0	0 0 0.429509 -0.00255265 -0.00390359 0	0 0 0.537741 -0.0022436 -0.000106125 0	0 0 0.631297 -0.00144759 0.00222337 0	0 0 0.715848 -0.000499361 0.00225896 0	
0.42	0 0 -0.169796 -0.00161124 -0.0202764 0	0 0 0.00222588 -0.00148166 -0.0166222 0	0 0 0.160176 -0.0018652 -0.0126668 0	0 0 0.302676 -0.00234388 -0.00842272 0	0 0 0.42852 -0.00255379 -0.00406831 0	0 0 0.537361 -0.00225881 -0.000214354 0	0 0 0.631273 -0.0014666 0.00217578 0	0 0 0.715921 -0.00051133 0.00225361 0	
0.43	0 0 -0.174213 -0.00158662 -0.0205009 0	0 0 -0.00134894 -0.00144304 -0.0168416 0	0 0 0.157456 -0.00182926 -0.0128794 0	0 0 0.300797 -0.00232195 -0.00862056 0	0 0 0.427412 -0.00255036 -0.00423381 0	0 0 0.53687 -0.00227052 -0.000328332 0	0 0 0.631169 -0.00148385 0.00212044 0	0 0 0.715958 -0.000523074 0.00224277 0	
0.44	0 0 -0.178593 -0.0015586 -0.020713 0	0 0 -0.00493646 -0.00140078 -0.0170491 0	0 0 0.154675 -0.00178914 -0.0130825 0	0 0 0.298818 -0.00229539 -0.00881343 0	0 0 0.426186 -0.00254245 -0.00439996 0	0 0 0.536269 -0.0022788 -0.000447898 0	0 0 0.630986 -0.00149936 0.00205752 0	0 0 0.715958 -0.000534592 0.0022265 0	
0.45	0 0 -0.182939 -0.00152728 -0.0209132 0	0 0 -0.00853567 -0.001355 -0.0172451 0	0 0 0.151836 -0.00174496 -0.0132764 0	0 0 0.296743 -0.00226432 -0.00900136 0	0 0 0.424846 -0.00253015 -0.00456666 0	0 0 0.535561 -0.0022837 -0.000572878 0	0 0 0.630727 -0.00151315 0.00198716 0	0 0 0.715923 -0.000545882 0.00220492 0	
0.46	0 0 -0.18725 -0.00149277 -0.0211022 0	0 0 -0.0121456 -0.00130583 -0.01743 0	0 0 0.14894 -0.00169688 -0.0134613 0	0 0 0.294575 -0.00222887 -0.00918439 0	0 0 0.423395 -0.00251358 -0.00473381 0	0 0 0.534749 -0.00228529 -0.000703084 0	0 0 0.630392 -0.00152524 0.00190957 0	0 0 0.715852 -0.000556947 0.00217814 0	
0.47	0 0 -0.191528 -0.00145518 -0.0212803 0	0 0 -0.0157656 -0.00125339 -0.0176041 0	0 0 0.14599 -0.00164502 -0.0136374 0	0 0 0.292317 -0.00218922 -0.00936257 0	0 0 0.421836 -0.00249287 -0.00490129 0	0 0 0.533835 -0.00228365 -0.000838309 0	0 0 0.629984 -0.00153564 0.00182494 0	0 0 0.715748 -0.000567739 0.00214628 0	
0.48	0 0 -0.195775 -0.00141465 -0.0214481 0	0 0 -0.0193947 -0.00119786 -0.017768 0	0 0 0.142988 -0.00158958 -0.013805 0	0 0 0.289973 -0.00214549 -0.00953603 0	0 0 0.420174 -0.00246813 -0.00506904 0	0 0 0.532823 -0.00227884 -0.000978357 0	0 0 0.629505 -0.00154442 0.00173351 0	0 0 0.71561 -0.000578324 0.0021095 0	
0.49	0 0 -0.19999 -0.00137131 -0.0216061 0	0 0 -0.0230326 -0.00113938 -0.017922 0	0 0 0.139937 -0.00153071 -0.0139645 0	0 0 0.287546 -0.00209787 -0.00970486 0	0 0 0.418411 -0.00243949 -0.00523696 0	0 0 0.531717 -0.00227096 -0.00112301 0	0 0 0.628957 -0.0015516 0.00163551 0	0 0 0.715441 -0.000588671 0.00206794 0	
0.5	0 0 -0.204178 -0.00132529 -0.0217551 0	0 0 -0.0266785 -0.0010781 -0.0180667 0	0 0 0.136839 -0.00146859 -0.0141162 0	0 0 0.28504 -0.00204652 -0.00986919 0	0 0 0.416553 -0.00240713 -0.00540497 0	0 0 0.530519 -0.00226012 -0.00127203 0	0 0 0.628343 -0.00155722 0.0015312 0	0 0 0.71524 -0.000598777 0.00202177 0	
0.51	0 0 -0.208338 -0.00127673 -0.0218954 0	0 0 -0.0303321 -0.00101417 -0.0182026 0	0 0 0.133696 -0.00140337 -0.0142603 0	0 0 0.282459 -0.00199162 -0.0100292 0	0 0 0.414603 -0.00237118 -0.00557298 0	0 0 0.529234 -0.00224641 -0.0014252 0	0 0 0.627665 -0.00156132 0.00142085 0	0 0 0.71501 -0.000608639 0.00197117 0	
0.52	0 0 -0.212473 -0.00122579 -0.0220278 0	0 0 -0.0339929 -0.000947744 -0.0183302 0	0 0 0.130512 -0.00133525 -0.0143974 0	0 0 0.279806 -0.00193336 -0.0101849 0	0 0 0.412567 -0.0023318 -0.00574092 0	0 0 0.527865 -0.00222995 -0.00158227 0	0 0 0.626926 -0.00156393 0.00130473 0	0 0 0.714751 -0.000618258 0.0019163 0	
0.53	0 0 -0.216585 -0.00117261 -0.0221527 0	0 0 -0.0376606 -0.000878993 -0.01845 0	0 0 0.127288 -0.00126439 -0.0145277 0	0 0 0.277086 -0.00187191 -0.0103366 0	0 0 0.410448 -0.00228917 -0.00590872 0	0 0 0.526417 -0.00221084 -0.001743 0	0 0 0.626129 -0.00156512 0.00118314 0	0 0 0.714465 -0.00062763 0.00185737 0	
0.54	0 0 -0.220676 -0.00111735 -0.0222709 0	0 0 -0.0413349 -0.000808076 -0.0185625 0	0 0 0.124027 -0.00119098 -0.0146517 0	0 0 0.274303 -0.00180747 -0.0104844 0	0 0 0.408251 -0.00224344 -0.00607631 0	0 0 0.524894 -0.0021892 -0.00190714 0	0 0 0.625277 -0.00156493 0.00105636 0	0 0 0.714153 -0.000636755 0.00179458 0	
